prior_id,prior_name,destination_id,destination_name,year,module_index
9,Gunma,8,Tochigi,2014,1
9,Gunma,11,Chiba,2014,1
11,Chiba,16,Ishikawa,2014,3
9,Gunma,12,Tokyo,2014,1
13,Kanagawa,27,Hyogo,2014,2
27,Hyogo,10,Saitama,2014,1
10,Saitama,8,Tochigi,2014,1
8,Tochigi,10,Saitama,2014,1
10,Saitama,12,Tokyo,2014,1
12,Tokyo,15,Toyama,2014,3
15,Toyama,18,Yamanashi,2014,1
9,Gunma,13,Kanagawa,2014,1
13,Kanagawa,14,Niigata,2014,1
14,Niigata,9,Gunma,2014,1
9,Gunma,21,Shizuoka,2014,1
9,Gunma,25,Kyoto,2014,2
28,Nara,26,Osaka,2014,2
33,Hiroshima,10,Saitama,2014,1
9,Gunma,26,Osaka,2014,2
9,Gunma,7,Ibaraki,2014,1
7,Ibaraki,20,Gihu,2014,3
101,Narita_airport,10,Saitama,2014,1
10,Saitama,0,Hokkaido,2014,0
10,Saitama,9,Gunma,2014,1
9,Gunma,46,Okinawa,2014,2
46,Okinawa,25,Kyoto,2014,2
12,Tokyo,5,Yamagata,2014,4
12,Tokyo,10,Saitama,2014,1
10,Saitama,11,Chiba,2014,1
11,Chiba,21,Shizuoka,2014,1
10,Saitama,18,Yamanashi,2014,1
11,Chiba,9,Gunma,2014,1
11,Chiba,10,Saitama,2014,1
18,Yamanashi,18,Yamanashi,2014,1
13,Kanagawa,21,Shizuoka,2014,1
21,Shizuoka,22,Aichi,2014,1
13,Kanagawa,26,Osaka,2014,2
26,Osaka,20,Gihu,2014,3
18,Yamanashi,13,Kanagawa,2014,1
25,Kyoto,22,Aichi,2014,2
41,Nagasaki,32,Okayama,2014,2
32,Okayama,13,Kanagawa,2014,1
13,Kanagawa,10,Saitama,2014,1
13,Kanagawa,18,Yamanashi,2014,1
13,Kanagawa,6,Fukushima,2014,1
10,Saitama,14,Niigata,2014,1
14,Niigata,11,Chiba,2014,1
11,Chiba,19,Nagano,2014,1
19,Nagano,21,Shizuoka,2014,1
11,Chiba,8,Tochigi,2014,1
18,Yamanashi,21,Shizuoka,2014,1
18,Yamanashi,25,Kyoto,2014,2
26,Osaka,46,Okinawa,2014,2
46,Okinawa,12,Tokyo,2014,1
10,Saitama,21,Shizuoka,2014,1
21,Shizuoka,8,Tochigi,2014,1
10,Saitama,22,Aichi,2014,1
22,Aichi,13,Kanagawa,2014,1
10,Saitama,23,Mie,2014,7
23,Mie,46,Okinawa,2014,7
46,Okinawa,10,Saitama,2014,7
10,Saitama,24,Shiga,2014,2
24,Shiga,12,Tokyo,2014,1
24,Shiga,38,Kochi,2014,2
38,Kochi,26,Osaka,2014,2
26,Osaka,45,Kagoshima,2014,5
10,Saitama,25,Kyoto,2014,2
25,Kyoto,0,Hokkaido,2014,0
25,Kyoto,8,Tochigi,2014,1
8,Tochigi,26,Osaka,2014,2
10,Saitama,26,Osaka,2014,2
12,Tokyo,9,Gunma,2014,1
28,Nara,33,Hiroshima,2014,2
33,Hiroshima,33,Hiroshima,2014,2
26,Osaka,28,Nara,2014,2
26,Osaka,30,Tottori,2014,8
30,Tottori,12,Tokyo,2014,8
10,Saitama,33,Hiroshima,2014,5
33,Hiroshima,34,Yamaguchi,2014,5
10,Saitama,37,Ehime,2014,6
33,Hiroshima,26,Osaka,2014,2
10,Saitama,38,Kochi,2014,6
38,Kochi,0,Hokkaido,2014,0
26,Osaka,41,Nagasaki,2014,5
10,Saitama,3,Miyagi,2014,4
3,Miyagi,1,Aomori,2014,4
1,Aomori,6,Fukushima,2014,4
10,Saitama,41,Nagasaki,2014,1
10,Saitama,43,Oita,2014,5
43,Oita,25,Kyoto,2014,2
10,Saitama,4,Akita,2014,4
8,Tochigi,18,Yamanashi,2014,1
8,Tochigi,8,Tochigi,2014,1
101,Narita_airport,11,Chiba,2014,1
25,Kyoto,25,Kyoto,2014,2
8,Tochigi,11,Chiba,2014,1
14,Niigata,19,Nagano,2014,1
12,Tokyo,19,Nagano,2014,1
13,Kanagawa,22,Aichi,2014,1
26,Osaka,29,Wakayama,2014,2
13,Kanagawa,20,Gihu,2014,3
20,Gihu,26,Osaka,2014,2
22,Aichi,26,Osaka,2014,2
19,Nagano,18,Yamanashi,2014,1
21,Shizuoka,21,Shizuoka,2014,1
25,Kyoto,33,Hiroshima,2014,2
33,Hiroshima,41,Nagasaki,2014,5
41,Nagasaki,42,Kumamoto,2014,5
42,Kumamoto,33,Hiroshima,2014,5
11,Chiba,25,Kyoto,2014,2
11,Chiba,26,Osaka,2014,2
11,Chiba,45,Kagoshima,2014,5
45,Kagoshima,39,Fukuoka,2014,5
39,Fukuoka,40,Saga,2014,5
11,Chiba,7,Ibaraki,2014,1
7,Ibaraki,12,Tokyo,2014,1
21,Shizuoka,18,Yamanashi,2014,1
25,Kyoto,13,Kanagawa,2014,1
27,Hyogo,26,Osaka,2014,2
12,Tokyo,28,Nara,2014,2
25,Kyoto,18,Yamanashi,2014,1
18,Yamanashi,20,Gihu,2014,3
20,Gihu,18,Yamanashi,2014,1
12,Tokyo,46,Okinawa,2014,1
46,Okinawa,26,Osaka,2014,2
13,Kanagawa,25,Kyoto,2014,2
22,Aichi,27,Hyogo,2014,2
27,Hyogo,25,Kyoto,2014,2
25,Kyoto,20,Gihu,2014,3
18,Yamanashi,27,Hyogo,2014,2
20,Gihu,25,Kyoto,2014,2
26,Osaka,27,Hyogo,2014,2
27,Hyogo,21,Shizuoka,2014,1
25,Kyoto,24,Shiga,2014,2
24,Shiga,26,Osaka,2014,2
33,Hiroshima,24,Shiga,2014,2
12,Tokyo,45,Kagoshima,2014,5
45,Kagoshima,40,Saga,2014,5
40,Saga,39,Fukuoka,2014,5
39,Fukuoka,11,Chiba,2014,5
21,Shizuoka,0,Hokkaido,2014,0
12,Tokyo,14,Niigata,2014,1
18,Yamanashi,28,Nara,2014,2
28,Nara,25,Kyoto,2014,2
33,Hiroshima,28,Nara,2014,2
28,Nara,8,Tochigi,2014,1
21,Shizuoka,26,Osaka,2014,2
13,Kanagawa,28,Nara,2014,2
18,Yamanashi,19,Nagano,2014,1
18,Yamanashi,26,Osaka,2014,2
27,Hyogo,22,Aichi,2014,2
21,Shizuoka,19,Nagano,2014,1
19,Nagano,27,Hyogo,2014,2
12,Tokyo,27,Hyogo,2014,2
27,Hyogo,12,Tokyo,2014,1
33,Hiroshima,18,Yamanashi,2014,1
18,Yamanashi,33,Hiroshima,2014,2
12,Tokyo,37,Ehime,2014,6
37,Ehime,26,Osaka,2014,6
5,Yamagata,12,Tokyo,2014,4
7,Ibaraki,19,Nagano,2014,1
19,Nagano,24,Shiga,2014,2
24,Shiga,25,Kyoto,2014,2
8,Tochigi,14,Niigata,2014,1
33,Hiroshima,39,Fukuoka,2014,5
39,Fukuoka,12,Tokyo,2014,1
13,Kanagawa,3,Miyagi,2014,4
8,Tochigi,13,Kanagawa,2014,1
11,Chiba,14,Niigata,2014,1
14,Niigata,14,Niigata,2014,1
11,Chiba,15,Toyama,2014,1
16,Ishikawa,12,Tokyo,2014,1
0,Hokkaido,27,Hyogo,2014,2
11,Chiba,1,Aomori,2014,1
1,Aomori,12,Tokyo,2014,1
19,Nagano,13,Kanagawa,2014,1
19,Nagano,16,Ishikawa,2014,3
16,Ishikawa,25,Kyoto,2014,2
